country,scenario,year,variable,value
AT,0_no_pol_cep,START,Primary energy factor,1.4704746
AT,1_no_pol_cep_low_pef,2030,Primary energy factor,1.3434464
AT,1_no_pol_cep_low_pef,2033,Primary energy factor,1.3011037
AT,1_no_pol_cep_low_pef,2035,Primary energy factor,1.2728752
AT,1_no_pol_cep_low_pef,2040,Primary energy factor,1.202304
AT,1_no_pol_cep_low_pef,2045,Primary energy factor,1.0611616
AT,1_no_pol_cep_low_pef,START,Primary energy factor,1.4704746
AT,2_no_pol_ep,START,Primary energy factor,1.4704746
AT,3_no_pol_ep_low_pef,2030,Primary energy factor,1.3434464
AT,3_no_pol_ep_low_pef,2033,Primary energy factor,1.3011037
AT,3_no_pol_ep_low_pef,2035,Primary energy factor,1.2728752
AT,3_no_pol_ep_low_pef,2040,Primary energy factor,1.202304
AT,3_no_pol_ep_low_pef,2045,Primary energy factor,1.0611616
AT,3_no_pol_ep_low_pef,START,Primary energy factor,1.4704746
AT,4_low_pol_co2_75,START,Primary energy factor,1.4704746
AT,5_low_pol_co2_75_low_pef,2030,Primary energy factor,1.3434464
AT,5_low_pol_co2_75_low_pef,2033,Primary energy factor,1.3011037
AT,5_low_pol_co2_75_low_pef,2035,Primary energy factor,1.2728752
AT,5_low_pol_co2_75_low_pef,2040,Primary energy factor,1.202304
AT,5_low_pol_co2_75_low_pef,2045,Primary energy factor,1.0611616
AT,5_low_pol_co2_75_low_pef,START,Primary energy factor,1.4704746
AT,6_co2_300,START,Primary energy factor,1.4704746
AT,7_co2_300_low_pef,2030,Primary energy factor,1.3434464
AT,7_co2_300_low_pef,2033,Primary energy factor,1.3011037
AT,7_co2_300_low_pef,2035,Primary energy factor,1.2728752
AT,7_co2_300_low_pef,2040,Primary energy factor,1.202304
AT,7_co2_300_low_pef,2045,Primary energy factor,1.0611616
AT,7_co2_300_low_pef,START,Primary energy factor,1.4704746
AT,8_nofoss_co2_75,START,Primary energy factor,1.4704746
AT,9_nofoss_co2_75_low_pef,2030,Primary energy factor,1.3434464
AT,9_nofoss_co2_75_low_pef,2033,Primary energy factor,1.3011037
AT,9_nofoss_co2_75_low_pef,2035,Primary energy factor,1.2728752
AT,9_nofoss_co2_75_low_pef,2040,Primary energy factor,1.202304
AT,9_nofoss_co2_75_low_pef,2045,Primary energy factor,1.0611616
AT,9_nofoss_co2_75_low_pef,START,Primary energy factor,1.4704746
BE,0_no_pol_cep,START,Primary energy factor,2.3333123
BE,1_no_pol_cep_low_pef,2030,Primary energy factor,1.973318
BE,1_no_pol_cep_low_pef,2033,Primary energy factor,1.8533199
BE,1_no_pol_cep_low_pef,2035,Primary energy factor,1.7733212
BE,1_no_pol_cep_low_pef,2040,Primary energy factor,1.5733243
BE,1_no_pol_cep_low_pef,2045,Primary energy factor,1.1733305
BE,1_no_pol_cep_low_pef,START,Primary energy factor,2.3333123
BE,2_no_pol_ep,START,Primary energy factor,2.3333123
BE,3_no_pol_ep_low_pef,2030,Primary energy factor,1.973318
BE,3_no_pol_ep_low_pef,2033,Primary energy factor,1.8533199
BE,3_no_pol_ep_low_pef,2035,Primary energy factor,1.7733212
BE,3_no_pol_ep_low_pef,2040,Primary energy factor,1.5733243
BE,3_no_pol_ep_low_pef,2045,Primary energy factor,1.1733305
BE,3_no_pol_ep_low_pef,START,Primary energy factor,2.3333123
BE,4_low_pol_co2_75,START,Primary energy factor,2.3333123
BE,5_low_pol_co2_75_low_pef,2030,Primary energy factor,1.973318
BE,5_low_pol_co2_75_low_pef,2033,Primary energy factor,1.8533199
BE,5_low_pol_co2_75_low_pef,2035,Primary energy factor,1.7733212
BE,5_low_pol_co2_75_low_pef,2040,Primary energy factor,1.5733243
BE,5_low_pol_co2_75_low_pef,2045,Primary energy factor,1.1733305
BE,5_low_pol_co2_75_low_pef,START,Primary energy factor,2.3333123
BE,6_co2_300,START,Primary energy factor,2.3333123
BE,7_co2_300_low_pef,2030,Primary energy factor,1.973318
BE,7_co2_300_low_pef,2033,Primary energy factor,1.8533199
BE,7_co2_300_low_pef,2035,Primary energy factor,1.7733212
BE,7_co2_300_low_pef,2040,Primary energy factor,1.5733243
BE,7_co2_300_low_pef,2045,Primary energy factor,1.1733305
BE,7_co2_300_low_pef,START,Primary energy factor,2.3333123
BE,8_nofoss_co2_75,START,Primary energy factor,2.3333123
BE,9_nofoss_co2_75_low_pef,2030,Primary energy factor,1.973318
BE,9_nofoss_co2_75_low_pef,2033,Primary energy factor,1.8533199
BE,9_nofoss_co2_75_low_pef,2035,Primary energy factor,1.7733212
BE,9_nofoss_co2_75_low_pef,2040,Primary energy factor,1.5733243
BE,9_nofoss_co2_75_low_pef,2045,Primary energy factor,1.1733305
BE,9_nofoss_co2_75_low_pef,START,Primary energy factor,2.3333123
BG,0_no_pol_cep,START,Primary energy factor,3.266178
BG,1_no_pol_cep_low_pef,2030,Primary energy factor,2.6543097
BG,1_no_pol_cep_low_pef,2033,Primary energy factor,2.4503539
BG,1_no_pol_cep_low_pef,2035,Primary energy factor,2.3143833
BG,1_no_pol_cep_low_pef,2040,Primary energy factor,1.9744564
BG,1_no_pol_cep_low_pef,2045,Primary energy factor,1.2946031
BG,1_no_pol_cep_low_pef,START,Primary energy factor,3.266178
BG,2_no_pol_ep,START,Primary energy factor,3.266178
BG,3_no_pol_ep_low_pef,2030,Primary energy factor,2.6543097
BG,3_no_pol_ep_low_pef,2033,Primary energy factor,2.4503539
BG,3_no_pol_ep_low_pef,2035,Primary energy factor,2.3143833
BG,3_no_pol_ep_low_pef,2040,Primary energy factor,1.9744564
