country,scenario,pef_assumption,year,type,data_type_id,unit_id,portion,value,service_factor
Finland,Economics,constant,2020,PED,PED_excl_sf,GWh/yr,WPBs,58100.90012127475,excl. service factor
Finland,Economics,constant,2020,PED,PED_excl_sf,GWh/yr,other,26981.93661731167,excl. service factor
Finland,Economics,constant,2020,PED,PED_excl_sf,GWh/yr,total,85082.83673858643,excl. service factor
Finland,Economics,constant,2020,PED share,PED_excl_sf,-,WPB reduction,0.0,excl. service factor
Finland,Economics,constant,2020,PED share,PED_excl_sf,-,other reduction,0.0,excl. service factor
Finland,Economics,constant,2020,PED share,PED_excl_sf,-,remainder,1.0,excl. service factor
Finland,Economics,constant,2020,area-specific PED,area-scaled PED_excl_sf,GWh/(m2 × yr),WPBs,200.7281149411291,area-scaled PED_excl_sf
Finland,Economics,constant,2020,area-specific PED,area-scaled PED_excl_sf,GWh/(m2 × yr),other,93.21771716701537,area-scaled PED_excl_sf
Finland,Economics,constant,2020,area-specific PED,area-scaled PED_excl_sf,GWh/(m2 × yr),total,293.9458321081445,area-scaled PED_excl_sf
Finland,Economics,constant,2020,area-specific PED share,area-scaled PED_excl_sf,-,WPB reduction,0.0,area-scaled PED_excl_sf
Finland,Economics,constant,2020,area-specific PED share,area-scaled PED_excl_sf,-,other reduction,0.0,area-scaled PED_excl_sf
Finland,Economics,constant,2020,area-specific PED share,area-scaled PED_excl_sf,-,remainder,1.0,area-scaled PED_excl_sf
Finland,Economics,constant,2025,PED,PED_excl_sf,GWh/yr,WPBs,56317.96653761354,excl. service factor
Finland,Economics,constant,2025,PED,PED_excl_sf,GWh/yr,other,27331.80539180947,excl. service factor
Finland,Economics,constant,2025,PED,PED_excl_sf,GWh/yr,total,83649.771929423,excl. service factor
Finland,Economics,constant,2025,PED share,PED_excl_sf,-,WPB reduction,0.02095526726664282,excl. service factor
Finland,Economics,constant,2025,PED share,PED_excl_sf,-,other reduction,-0.004112095786988765,excl. service factor
Finland,Economics,constant,2025,PED share,PED_excl_sf,-,remainder,0.9831568285203459,excl. service factor
Finland,Economics,constant,2025,area-specific PED,area-scaled PED_excl_sf,GWh/(m2 × yr),WPBs,193.461864542426,area-scaled PED_excl_sf
Finland,Economics,constant,2025,area-specific PED,area-scaled PED_excl_sf,GWh/(m2 × yr),other,93.88943453557891,area-scaled PED_excl_sf
Finland,Economics,constant,2025,area-specific PED,area-scaled PED_excl_sf,GWh/(m2 × yr),total,287.3512990780049,area-scaled PED_excl_sf
Finland,Economics,constant,2025,area-specific PED share,area-scaled PED_excl_sf,-,WPB reduction,0.02471969187856998,area-scaled PED_excl_sf
Finland,Economics,constant,2025,area-specific PED share,area-scaled PED_excl_sf,-,other reduction,-0.002285173985104914,area-scaled PED_excl_sf
Finland,Economics,constant,2025,area-specific PED share,area-scaled PED_excl_sf,-,remainder,0.9775654821065352,area-scaled PED_excl_sf
Finland,Economics,constant,2026,PED,PED_excl_sf,GWh/yr,WPBs,55961.3798208813,excl. service factor
Finland,Economics,constant,2026,PED,PED_excl_sf,GWh/yr,other,27206.51577085454,excl. service factor
Finland,Economics,constant,2026,PED,PED_excl_sf,GWh/yr,total,83167.89559173584,excl. service factor
Finland,Economics,constant,2026,PED share,PED_excl_sf,-,WPB reduction,0.02514632071997138,excl. service factor
Finland,Economics,constant,2026,PED share,PED_excl_sf,-,other reduction,-0.002639535329938315,excl. service factor
Finland,Economics,constant,2026,PED share,PED_excl_sf,-,remainder,0.977493214609967,excl. service factor
Finland,Economics,constant,2026,area-specific PED,area-scaled PED_excl_sf,GWh/(m2 × yr),WPBs,191.9857650382901,area-scaled PED_excl_sf
Finland,Economics,constant,2026,area-specific PED,area-scaled PED_excl_sf,GWh/(m2 × yr),other,93.33693631236764,area-scaled PED_excl_sf
Finland,Economics,constant,2026,area-specific PED,area-scaled PED_excl_sf,GWh/(m2 × yr),total,285.3227013506577,area-scaled PED_excl_sf
Finland,Economics,constant,2026,area-specific PED share,area-scaled PED_excl_sf,-,WPB reduction,0.02974136370684355,area-scaled PED_excl_sf
Finland,Economics,constant,2026,area-specific PED share,area-scaled PED_excl_sf,-,other reduction,-0.0004055820233859068,area-scaled PED_excl_sf
Finland,Economics,constant,2026,area-specific PED share,area-scaled PED_excl_sf,-,remainder,0.9706642183165424,area-scaled PED_excl_sf
Finland,Economics,constant,2030,PED,PED_excl_sf,GWh/yr,WPBs,54535.03295395232,excl. service factor
Finland,Economics,constant,2030,PED,PED_excl_sf,GWh/yr,other,26873.61907654081,excl. service factor
Finland,Economics,constant,2030,PED,PED_excl_sf,GWh/yr,total,81408.65203049313,excl. service factor
Finland,Economics,constant,2030,PED share,PED_excl_sf,-,WPB reduction,0.04191053453328564,excl. service factor
Finland,Economics,constant,2030,PED share,PED_excl_sf,-,other reduction,0.001273083325884673,excl. service factor
Finland,Economics,constant,2030,PED share,PED_excl_sf,-,remainder,0.9568163821408296,excl. service factor
Finland,Economics,constant,2030,area-specific PED,area-scaled PED_excl_sf,GWh/(m2 × yr),WPBs,186.430019837154,area-scaled PED_excl_sf
Finland,Economics,constant,2030,area-specific PED,area-scaled PED_excl_sf,GWh/(m2 × yr),other,91.86845713957763,area-scaled PED_excl_sf
Finland,Economics,constant,2030,area-specific PED,area-scaled PED_excl_sf,GWh/(m2 × yr),total,278.2984769767316,area-scaled PED_excl_sf
Finland,Economics,constant,2030,area-specific PED share,area-scaled PED_excl_sf,-,WPB reduction,0.04864193855524646,area-scaled PED_excl_sf
Finland,Economics,constant,2030,area-specific PED share,area-scaled PED_excl_sf,-,other reduction,0.0045901655341088,area-scaled PED_excl_sf
Finland,Economics,constant,2030,area-specific PED share,area-scaled PED_excl_sf,-,remainder,0.9467678959106447,area-scaled PED_excl_sf
Finland,Economics,constant,2033,PED,PED_excl_sf,GWh/yr,WPBs,52901.14798674807,excl. service factor
Finland,Economics,constant,2033,PED,PED_excl_sf,GWh/yr,other,26676.93632594655,excl. service factor
Finland,Economics,constant,2033,PED,PED_excl_sf,GWh/yr,total,79578.08431269461,excl. service factor
Finland,Economics,constant,2033,PED share,PED_excl_sf,-,WPB reduction,0.06111399588735757,excl. service factor
Finland,Economics,constant,2033,PED share,PED_excl_sf,-,other reduction,0.003584745208980597,excl. service factor
Finland,Economics,constant,2033,PED share,PED_excl_sf,-,remainder,0.9353012589036618,excl. service factor
Finland,Economics,constant,2033,area-specific PED,area-scaled PED_excl_sf,GWh/(m2 × yr),WPBs,180.6245422673497,area-scaled PED_excl_sf
Finland,Economics,constant,2033,area-specific PED,area-scaled PED_excl_sf,GWh/(m2 × yr),other,91.08515781503233,area-scaled PED_excl_sf
Finland,Economics,constant,2033,area-specific PED,area-scaled PED_excl_sf,GWh/(m2 × yr),total,271.709700082382,area-scaled PED_excl_sf
Finland,Economics,constant,2033,area-specific PED share,area-scaled PED_excl_sf,-,WPB reduction,0.06839209976069083,area-scaled PED_excl_sf
Finland,Economics,constant,2033,area-specific PED share,area-scaled PED_excl_sf,-,other reduction,0.007254939921034334,area-scaled PED_excl_sf
Finland,Economics,constant,2033,area-specific PED share,area-scaled PED_excl_sf,-,remainder,0.9243529603182749,area-scaled PED_excl_sf
Finland,Economics,constant,2035,PED,PED_excl_sf,GWh/yr,WPBs,51332.84153120962,excl. service factor
Finland,Economics,constant,2035,PED,PED_excl_sf,GWh/yr,other,26348.17503457339,excl. service factor
Finland,Economics,constant,2035,PED,PED_excl_sf,GWh/yr,total,77681.01656578301,excl. service factor
Finland,Economics,constant,2035,PED share,PED_excl_sf,-,WPB reduction,0.07954669648427122,excl. service factor
Finland,Economics,constant,2035,PED share,PED_excl_sf,-,other reduction,0.007448759432945215,excl. service factor
Finland,Economics,constant,2035,PED share,PED_excl_sf,-,remainder,0.9130045440827835,excl. service factor
Finland,Economics,constant,2035,area-specific PED,area-scaled PED_excl_sf,GWh/(m2 × yr),WPBs,175.1858031845338,area-scaled PED_excl_sf
Finland,Economics,constant,2035,area-specific PED,area-scaled PED_excl_sf,GWh/(m2 × yr),other,89.91955380206385,area-scaled PED_excl_sf
Finland,Economics,constant,2035,area-specific PED,area-scaled PED_excl_sf,GWh/(m2 × yr),total,265.1053569865977,area-scaled PED_excl_sf
Finland,Economics,constant,2035,area-specific PED share,area-scaled PED_excl_sf,-,WPB reduction,0.08689462127565796,area-scaled PED_excl_sf
Finland,Economics,constant,2035,area-specific PED share,area-scaled PED_excl_sf,-,other reduction,0.01122031001867754,area-scaled PED_excl_sf
Finland,Economics,constant,2035,area-specific PED share,area-scaled PED_excl_sf,-,remainder,0.9018850687056646,area-scaled PED_excl_sf
Finland,Economics,constant,2040,PED,PED_excl_sf,GWh/yr,WPBs,47412.07539236351,excl. service factor
Finland,Economics,constant,2040,PED,PED_excl_sf,GWh/yr,other,25526.27180614047,excl. service factor
Finland,Economics,constant,2040,PED,PED_excl_sf,GWh/yr,total,72938.34719850398,excl. service factor
Finland,Economics,constant,2040,PED share,PED_excl_sf,-,WPB reduction,0.1256284479765551,excl. service factor
Finland,Economics,constant,2040,PED share,PED_excl_sf,-,other reduction,0.0171087949928571,excl. service factor
Finland,Economics,constant,2040,PED share,PED_excl_sf,-,remainder,0.8572627570305877,excl. service factor
Finland,Economics,constant,2040,area-specific PED,area-scaled PED_excl_sf,GWh/(m2 × yr),WPBs,161.6117214403399,area-scaled PED_excl_sf
Finland,Economics,constant,2040,area-specific PED,area-scaled PED_excl_sf,GWh/(m2 × yr),other,87.01042285967573,area-scaled PED_excl_sf
Finland,Economics,constant,2040,area-specific PED,area-scaled PED_excl_sf,GWh/(m2 × yr),total,248.6221443000156,area-scaled PED_excl_sf
Finland,Economics,constant,2040,area-specific PED share,area-scaled PED_excl_sf,-,WPB reduction,0.1330734755456512,area-scaled PED_excl_sf
Finland,Economics,constant,2040,area-specific PED share,area-scaled PED_excl_sf,-,other reduction,0.02111713666025357,area-scaled PED_excl_sf
Finland,Economics,constant,2040,area-specific PED share,area-scaled PED_excl_sf,-,remainder,0.8458093877940954,area-scaled PED_excl_sf
Finland,Economics,constant,2045,PED,PED_excl_sf,GWh/yr,WPBs,43491.3092535174,excl. service factor
Finland,Economics,constant,2045,PED,PED_excl_sf,GWh/yr,other,24704.36857770755,excl. service factor
Finland,Economics,constant,2045,PED,PED_excl_sf,GWh/yr,total,68195.67783122495,excl. service factor
Finland,Economics,constant,2045,PED share,PED_excl_sf,-,WPB reduction,0.1717101994688392,excl. service factor
Finland,Economics,constant,2045,PED share,PED_excl_sf,-,other reduction,0.0267688305527689,excl. service factor
Finland,Economics,constant,2045,PED share,PED_excl_sf,-,remainder,0.801520969978392,excl. service factor
Finland,Economics,constant,2045,area-specific PED,area-scaled PED_excl_sf,GWh/(m2 × yr),WPBs,148.0700692607219,area-scaled PED_excl_sf
Finland,Economics,constant,2045,area-specific PED,area-scaled PED_excl_sf,GWh/(m2 × yr),other,84.10824206327422,area-scaled PED_excl_sf
Finland,Economics,constant,2045,area-specific PED,area-scaled PED_excl_sf,GWh/(m2 × yr),total,232.1783113239961,area-scaled PED_excl_sf
Finland,Economics,constant,2045,area-specific PED share,area-scaled PED_excl_sf,-,WPB reduction,0.1791420048474578,area-scaled PED_excl_sf
Finland,Economics,constant,2045,area-specific PED share,area-scaled PED_excl_sf,-,other reduction,0.03099031899315965,area-scaled PED_excl_sf
Finland,Economics,constant,2045,area-specific PED share,area-scaled PED_excl_sf,-,remainder,0.7898676761593826,area-scaled PED_excl_sf
Finland,Economics,constant,2050,PED,PED_excl_sf,GWh/yr,WPBs,39570.54311467129,excl. service factor
Finland,Economics,constant,2050,PED,PED_excl_sf,GWh/yr,other,23882.46534927465,excl. service factor
Finland,Economics,constant,2050,PED,PED_excl_sf,GWh/yr,total,63453.00846394594,excl. service factor
Finland,Economics,constant,2050,PED share,PED_excl_sf,-,WPB reduction,0.2177919509611232,excl. service factor
Finland,Economics,constant,2050,PED share,PED_excl_sf,-,other reduction,0.03642886611268053,excl. service factor
Finland,Economics,constant,2050,PED share,PED_excl_sf,-,remainder,0.7457791829261963,excl. service factor
Finland,Economics,constant,2050,area-specific PED,area-scaled PED_excl_sf,GWh/(m2 × yr),WPBs,134.5607305691112,area-scaled PED_excl_sf
Finland,Economics,constant,2050,area-specific PED,area-scaled PED_excl_sf,GWh/(m2 × yr),other,81.21298653589572,area-scaled PED_excl_sf
Finland,Economics,constant,2050,area-specific PED,area-scaled PED_excl_sf,GWh/(m2 × yr),total,215.7737171050069,area-scaled PED_excl_sf
